Project Path,Existing Packages,Generated Packages,Unique to Existing Packages,Unique to Generated Packages,Common packages
G:/ReqProject/gitprojects/project\612,2,2,0,0,2
G:/ReqProject/gitprojects/project\613,20,4,16,0,4
G:/ReqProject/gitprojects/project\616,6,13,1,8,5
G:/ReqProject/gitprojects/project\619,4,3,2,1,2
G:/ReqProject/gitprojects/project\620,20,9,14,3,6
G:/ReqProject/gitprojects/project\621,5,2,5,2,0
G:/ReqProject/gitprojects/project\622,1,1,0,0,1
G:/ReqProject/gitprojects/project\623,1,2,0,1,1
G:/ReqProject/gitprojects/project\624,5,1,4,0,1
G:/ReqProject/gitprojects/project\626,2,3,0,1,2
G:/ReqProject/gitprojects/project\627,13,5,8,0,5
G:/ReqProject/gitprojects/project\628,4,2,3,1,1
G:/ReqProject/gitprojects/project\631,9,14,5,10,4
G:/ReqProject/gitprojects/project\632,23,2,21,0,2
G:/ReqProject/gitprojects/project\636,12,6,9,3,3
G:/ReqProject/gitprojects/project\637,2,2,1,1,1
G:/ReqProject/gitprojects/project\638,1,2,0,1,1
G:/ReqProject/gitprojects/project\639,2,1,1,0,1
G:/ReqProject/gitprojects/project\640,5,2,3,0,2
G:/ReqProject/gitprojects/project\644,3,2,1,0,2
G:/ReqProject/gitprojects/project\646,4,3,4,3,0
G:/ReqProject/gitprojects/project\647,1,4,1,4,0
G:/ReqProject/gitprojects/project\648,4,1,4,1,0
G:/ReqProject/gitprojects/project\649,8,5,4,1,4
G:/ReqProject/gitprojects/project\651,4,10,4,10,0
G:/ReqProject/gitprojects/project\652,20,17,20,17,0
G:/ReqProject/gitprojects/project\654,6,5,4,3,2
G:/ReqProject/gitprojects/project\655,45,11,37,3,8
G:/ReqProject/gitprojects/project\657,5,5,5,5,0
G:/ReqProject/gitprojects/project\659,24,22,12,10,12
G:/ReqProject/gitprojects/project\662,2,1,1,0,1
G:/ReqProject/gitprojects/project\663,1,2,0,1,1
G:/ReqProject/gitprojects/project\667,0,1,0,1,0
G:/ReqProject/gitprojects/project\668,0,2,0,2,0
G:/ReqProject/gitprojects/project\673,12,7,7,2,5
G:/ReqProject/gitprojects/project\674,4,3,2,1,2
G:/ReqProject/gitprojects/project\675,1,2,0,1,1
G:/ReqProject/gitprojects/project\677,127,26,102,1,25
G:/ReqProject/gitprojects/project\679,1,2,0,1,1
G:/ReqProject/gitprojects/project\680,1,1,0,0,1
G:/ReqProject/gitprojects/project\681,6,1,5,0,1
G:/ReqProject/gitprojects/project\684,3,2,1,0,2
G:/ReqProject/gitprojects/project\685,5,3,3,1,2
G:/ReqProject/gitprojects/project\686,3,1,2,0,1
G:/ReqProject/gitprojects/project\689,11,2,9,0,2
G:/ReqProject/gitprojects/project\690,1,2,1,2,0
G:/ReqProject/gitprojects/project\691,1,1,1,1,0
G:/ReqProject/gitprojects/project\695,15,3,12,0,3
G:/ReqProject/gitprojects/project\696,2,1,1,0,1
G:/ReqProject/gitprojects/project\697,7,3,4,0,3
G:/ReqProject/gitprojects/project\699,36,8,36,8,0
G:/ReqProject/gitprojects/project\701,5,5,5,5,0
